method,note_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention
Raw prompt,ai4privacy-40772C,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-40774B,ai4privacy-test,11,0,0,0,11,100.0,1.000
Raw prompt,ai4privacy-40781A,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-40781B,ai4privacy-test,9,0,0,0,9,100.0,1.000
Raw prompt,ai4privacy-40784D,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-40785A,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-40787B,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-40800B,ai4privacy-test,11,0,0,0,11,100.0,1.000
Raw prompt,ai4privacy-40808A,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-40811C,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-40815A,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-40815D,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-40829A,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-40830A,ai4privacy-test,7,0,0,0,7,100.0,1.000
Raw prompt,ai4privacy-40849C,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-40851B,ai4privacy-test,14,0,0,0,14,100.0,1.000
Raw prompt,ai4privacy-40852E,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-40856F,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-40862,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-40863A,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-40863C,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-40864B,ai4privacy-test,11,0,0,0,11,100.0,1.000
Raw prompt,ai4privacy-40873A,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-40886A,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-40892A,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-40893A,ai4privacy-test,12,0,0,0,12,100.0,1.000
Raw prompt,ai4privacy-40904A,ai4privacy-test,5,0,0,0,5,100.0,1.000
Raw prompt,ai4privacy-40914D,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-40921A,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-40923C,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-40926B,ai4privacy-test,12,0,0,0,12,100.0,1.000
Raw prompt,ai4privacy-40929B,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-40930B,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-40932C,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-40934C,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-40936A,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-40937B,ai4privacy-test,16,0,0,0,16,100.0,1.000
Raw prompt,ai4privacy-40940C,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-40940D,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-40943A,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-40943B,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-40957B,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-40958C,ai4privacy-test,9,0,0,0,9,100.0,1.000
Raw prompt,ai4privacy-40961A,ai4privacy-test,5,0,0,0,5,100.0,1.000
Raw prompt,ai4privacy-40972D,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-40982C,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-40983A,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-40983E,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-40993A,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-40998A,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41004B,ai4privacy-test,15,0,0,0,15,100.0,1.000
Raw prompt,ai4privacy-41005B,ai4privacy-test,11,0,0,0,11,100.0,1.000
Raw prompt,ai4privacy-41005D,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41013A,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41013B,ai4privacy-test,7,0,0,0,7,100.0,1.000
Raw prompt,ai4privacy-41013C,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41014C,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41016A,ai4privacy-test,9,0,0,0,9,100.0,1.000
Raw prompt,ai4privacy-41022A,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41030C,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41032A,ai4privacy-test,12,0,0,0,12,100.0,1.000
Raw prompt,ai4privacy-41043B,ai4privacy-test,14,0,0,0,14,100.0,1.000
Raw prompt,ai4privacy-41043C,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41080C,ai4privacy-test,9,0,0,0,9,100.0,1.000
Raw prompt,ai4privacy-41082A,ai4privacy-test,13,0,0,0,13,100.0,1.000
Raw prompt,ai4privacy-41086A,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41086C,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41090A,ai4privacy-test,5,0,0,0,5,100.0,1.000
Raw prompt,ai4privacy-41095D,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41100A,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41101E,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41104,ai4privacy-test,19,0,0,0,19,100.0,1.000
Raw prompt,ai4privacy-41113A,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41113B,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41118A,ai4privacy-test,14,0,0,0,14,100.0,1.000
Raw prompt,ai4privacy-41119D,ai4privacy-test,5,0,0,0,5,100.0,1.000
Raw prompt,ai4privacy-41121A,ai4privacy-test,9,0,0,0,9,100.0,1.000
Raw prompt,ai4privacy-41129C,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41129D,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41133B,ai4privacy-test,14,0,0,0,14,100.0,1.000
Raw prompt,ai4privacy-41136A,ai4privacy-test,14,0,0,0,14,100.0,1.000
Raw prompt,ai4privacy-41136B,ai4privacy-test,7,0,0,0,7,100.0,1.000
Raw prompt,ai4privacy-41138F,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41144A,ai4privacy-test,21,0,0,0,21,100.0,1.000
Raw prompt,ai4privacy-41148A,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41153A,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-41156C,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41167B,ai4privacy-test,17,0,0,0,17,100.0,1.000
Raw prompt,ai4privacy-41169B,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41180B,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-41190B,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41193B,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41202C,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41207B,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41209A,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41211B,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-41213A,ai4privacy-test,16,0,0,0,16,100.0,1.000
Raw prompt,ai4privacy-41213C,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41218C,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41220,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-41221B,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41225A,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41229D,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41233A,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41235E,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41254A,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41257A,ai4privacy-test,14,0,0,0,14,100.0,1.000
Raw prompt,ai4privacy-41282E,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41283L,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41285C,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41293C,ai4privacy-test,12,0,0,0,12,100.0,1.000
Raw prompt,ai4privacy-41301B,ai4privacy-test,9,0,0,0,9,100.0,1.000
Raw prompt,ai4privacy-41305C,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-41308G,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41312D,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41313B,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-41315C,ai4privacy-test,7,0,0,0,7,100.0,1.000
Raw prompt,ai4privacy-41316B,ai4privacy-test,12,0,0,0,12,100.0,1.000
Raw prompt,ai4privacy-41317C,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41318B,ai4privacy-test,7,0,0,0,7,100.0,1.000
Raw prompt,ai4privacy-41319B,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41319C,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41324A,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-41324C,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41325A,ai4privacy-test,14,0,0,0,14,100.0,1.000
Raw prompt,ai4privacy-41334B,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41344A,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-41346B,ai4privacy-test,18,0,0,0,18,100.0,1.000
Raw prompt,ai4privacy-41351C,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41356D,ai4privacy-test,13,0,0,0,13,100.0,1.000
Raw prompt,ai4privacy-41359D,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41364A,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41378A,ai4privacy-test,5,0,0,0,5,100.0,1.000
Raw prompt,ai4privacy-41383A,ai4privacy-test,7,0,0,0,7,100.0,1.000
Raw prompt,ai4privacy-41395B,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41399A,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41401B,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41423A,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41430B,ai4privacy-test,13,0,0,0,13,100.0,1.000
Raw prompt,ai4privacy-41430C,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41431A,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41437B,ai4privacy-test,16,0,0,0,16,100.0,1.000
Raw prompt,ai4privacy-41443C,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41444A,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-41449A,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41454B,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-41459B,ai4privacy-test,7,0,0,0,7,100.0,1.000
Raw prompt,ai4privacy-41461A,ai4privacy-test,5,0,0,0,5,100.0,1.000
Raw prompt,ai4privacy-41462A,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41476C,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41477C,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41485A,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41489B,ai4privacy-test,14,0,0,0,14,100.0,1.000
Raw prompt,ai4privacy-41505B,ai4privacy-test,11,0,0,0,11,100.0,1.000
Raw prompt,ai4privacy-41537D,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41541F,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41543C,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41552B,ai4privacy-test,14,0,0,0,14,100.0,1.000
Raw prompt,ai4privacy-41561C,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41561D,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41570E,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41573E,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41576B,ai4privacy-test,5,0,0,0,5,100.0,1.000
Raw prompt,ai4privacy-41581C,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41588B,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41590A,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41592B,ai4privacy-test,13,0,0,0,13,100.0,1.000
Raw prompt,ai4privacy-41598B,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41613A,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41615C,ai4privacy-test,9,0,0,0,9,100.0,1.000
Raw prompt,ai4privacy-41628B,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-41635B,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41638A,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41651B,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-41652A,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-41652B,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-41655B,ai4privacy-test,9,0,0,0,9,100.0,1.000
Raw prompt,ai4privacy-41657E,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41659B,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41661B,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-41662B,ai4privacy-test,13,0,0,0,13,100.0,1.000
Raw prompt,ai4privacy-41664A,ai4privacy-test,11,0,0,0,11,100.0,1.000
Raw prompt,ai4privacy-41666F,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41668B,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-41668C,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41671C,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41674B,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41683C,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41686D,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41690B,ai4privacy-test,7,0,0,0,7,100.0,1.000
Raw prompt,ai4privacy-41692B,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-41692C,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41693A,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41694C,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41706B,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-41715B,ai4privacy-test,4,0,0,0,4,100.0,1.000
Raw prompt,ai4privacy-41720B,ai4privacy-test,10,0,0,0,10,100.0,1.000
Raw prompt,ai4privacy-41722A,ai4privacy-test,1,0,0,0,1,100.0,1.000
Raw prompt,ai4privacy-41724B,ai4privacy-test,9,0,0,0,9,100.0,1.000
Raw prompt,ai4privacy-41726C,ai4privacy-test,15,0,0,0,15,100.0,1.000
Raw prompt,ai4privacy-41733A,ai4privacy-test,15,0,0,0,15,100.0,1.000
Raw prompt,ai4privacy-41735B,ai4privacy-test,16,0,0,0,16,100.0,1.000
Raw prompt,ai4privacy-41740B,ai4privacy-test,7,0,0,0,7,100.0,1.000
Raw prompt,ai4privacy-41746C,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41752A,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41754C,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41759A,ai4privacy-test,15,0,0,0,15,100.0,1.000
Raw prompt,ai4privacy-41764D,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41769B,ai4privacy-test,8,0,0,0,8,100.0,1.000
Raw prompt,ai4privacy-41769D,ai4privacy-test,9,0,0,0,9,100.0,1.000
Raw prompt,ai4privacy-41778B,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41778C,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41779B,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41781B,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41783A,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41787A,ai4privacy-test,3,0,0,0,3,100.0,1.000
Raw prompt,ai4privacy-41787B,ai4privacy-test,5,0,0,0,5,100.0,1.000
Raw prompt,ai4privacy-41788B,ai4privacy-test,11,0,0,0,11,100.0,1.000
Raw prompt,ai4privacy-41796B,ai4privacy-test,9,0,0,0,9,100.0,1.000
Raw prompt,ai4privacy-41800A,ai4privacy-test,6,0,0,0,6,100.0,1.000
Raw prompt,ai4privacy-41804D,ai4privacy-test,0,0,0,0,0,0.0,1.000
Raw prompt,ai4privacy-41805A,ai4privacy-test,2,0,0,0,2,100.0,1.000
Raw prompt,ai4privacy-41814A,ai4privacy-test,9,0,0,0,9,100.0,1.000
