benchmark,split,document_id,annotation_path,image_path,line_count,word_count,key_word_count,entity_categories,wrapper_instruction,evaluation_slice
CORD,valid,0,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00000.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00000.png,12,18,3,menu.cnt | menu.nm | menu.price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,1,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00001.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00001.png,6,11,3,menu.cnt | menu.nm | menu.price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,2,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00002.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00002.png,10,18,5,menu.cnt | menu.nm | menu.price | menu.unitprice | menu.vatyn | sub_total.subtotal_price | sub_total.tax_price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,3,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00003.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00003.png,11,19,5,menu.cnt | menu.nm | menu.price | menu.sub_nm | menu.unitprice | sub_total.subtotal_price | sub_total.tax_price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,4,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00004.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00004.png,11,16,4,menu.cnt | menu.nm | menu.price | menu.sub_cnt | menu.sub_nm | menu.sub_price | sub_total.subtotal_price | total.cashprice | total.changeprice | total.menuqty_cnt | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,5,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00005.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00005.png,7,14,6,menu.cnt | menu.nm | menu.price | sub_total.subtotal_price | sub_total.tax_price | total.cashprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,6,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00006.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00006.png,11,21,2,menu.cnt | menu.nm | menu.price | total.creditcardprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,7,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00007.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00007.png,10,21,10,menu.cnt | menu.discountprice | menu.nm | menu.price | sub_total.discount_price | sub_total.subtotal_price | sub_total.tax_price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,8,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00008.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00008.png,14,24,8,menu.cnt | menu.discountprice | menu.nm | menu.price | menu.unitprice | sub_total.subtotal_price | total.cashprice | total.changeprice | total.menuqty_cnt | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,9,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00009.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00009.png,6,12,3,menu.cnt | menu.nm | menu.price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
