method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
Raw OCR text prompt,0,valid,3,0,0,0,3,100.0,1.000,12,364.9
OCR + regex masking,0,valid,3,6,0,6,3,100.0,0.426,12,364.9
OCR + generic de-identification,0,valid,3,6,0,6,3,100.0,0.426,12,364.9
OCR + Presidio receipt de-identification,0,valid,3,6,0,6,3,100.0,0.426,12,364.9
OCR + spaCy receipt de-identification,0,valid,3,11,2,9,1,25.0,0.180,12,364.9
Proposed multimodal mediation,0,valid,3,9,3,6,0,0.0,0.426,12,364.9
Raw OCR text prompt,1,valid,1,0,0,0,1,100.0,1.000,10,514.8
OCR + regex masking,1,valid,1,5,0,5,1,100.0,0.509,10,514.8
OCR + generic de-identification,1,valid,1,5,0,5,1,100.0,0.509,10,514.8
OCR + Presidio receipt de-identification,1,valid,1,5,0,5,1,100.0,0.509,10,514.8
OCR + spaCy receipt de-identification,1,valid,1,8,1,7,0,0.0,0.291,10,514.8
Proposed multimodal mediation,1,valid,1,8,1,7,0,0.0,0.291,10,514.8
Raw OCR text prompt,2,valid,2,0,0,0,2,100.0,1.000,15,307.7
OCR + regex masking,2,valid,2,7,1,6,1,21.4,0.647,15,307.7
OCR + generic de-identification,2,valid,2,7,1,6,1,21.4,0.647,15,307.7
OCR + Presidio receipt de-identification,2,valid,2,7,1,6,1,21.4,0.647,15,307.7
OCR + spaCy receipt de-identification,2,valid,2,12,1,11,1,21.4,0.343,15,307.7
Proposed multimodal mediation,2,valid,2,7,1,6,1,21.4,0.647,15,307.7
Raw OCR text prompt,3,valid,3,0,0,0,3,100.0,1.000,12,2746.7
OCR + regex masking,3,valid,3,4,0,4,3,100.0,0.636,12,2746.7
OCR + generic de-identification,3,valid,3,4,0,4,3,100.0,0.636,12,2746.7
OCR + Presidio receipt de-identification,3,valid,3,5,1,4,2,80.5,0.636,12,2746.7
OCR + spaCy receipt de-identification,3,valid,3,8,1,7,2,80.5,0.333,12,2746.7
Proposed multimodal mediation,3,valid,3,5,1,4,2,26.8,0.636,12,2746.7
Raw OCR text prompt,4,valid,2,0,0,0,2,100.0,1.000,9,239.1
OCR + regex masking,4,valid,2,3,0,3,2,100.0,0.719,9,239.1
OCR + generic de-identification,4,valid,2,3,0,3,2,100.0,0.719,9,239.1
OCR + Presidio receipt de-identification,4,valid,2,3,0,3,2,100.0,0.719,9,239.1
OCR + spaCy receipt de-identification,4,valid,2,6,1,5,1,41.2,0.516,9,239.1
Proposed multimodal mediation,4,valid,2,5,1,4,1,41.2,0.609,9,239.1
Raw OCR text prompt,5,valid,1,0,0,0,1,100.0,1.000,10,340.2
OCR + regex masking,5,valid,1,2,0,2,1,100.0,0.873,10,340.2
OCR + generic de-identification,5,valid,1,2,0,2,1,100.0,0.873,10,340.2
OCR + Presidio receipt de-identification,5,valid,1,2,0,2,1,100.0,0.873,10,340.2
OCR + spaCy receipt de-identification,5,valid,1,7,0,7,1,100.0,0.400,10,340.2
Proposed multimodal mediation,5,valid,1,3,0,3,1,100.0,0.727,10,340.2
Raw OCR text prompt,6,valid,5,0,0,0,5,100.0,1.000,10,312.1
OCR + regex masking,6,valid,5,5,1,4,4,92.7,0.359,10,312.1
OCR + generic de-identification,6,valid,5,6,2,4,3,87.8,0.359,10,312.1
OCR + Presidio receipt de-identification,6,valid,5,7,3,4,2,59.8,0.359,10,312.1
OCR + spaCy receipt de-identification,6,valid,5,10,5,5,0,0.0,0.231,10,312.1
Proposed multimodal mediation,6,valid,5,9,5,4,0,0.0,0.359,10,312.1
Raw OCR text prompt,7,valid,0,0,0,0,0,0.0,1.000,14,268.1
OCR + regex masking,7,valid,0,3,0,3,0,0.0,0.850,14,268.1
OCR + generic de-identification,7,valid,0,4,0,4,0,0.0,0.708,14,268.1
OCR + Presidio receipt de-identification,7,valid,0,5,0,5,0,0.0,0.646,14,268.1
OCR + spaCy receipt de-identification,7,valid,0,11,0,11,0,0.0,0.301,14,268.1
Proposed multimodal mediation,7,valid,0,6,0,6,0,0.0,0.611,14,268.1
Raw OCR text prompt,8,valid,2,0,0,0,2,100.0,1.000,20,276.5
OCR + regex masking,8,valid,2,5,0,5,2,100.0,0.760,20,276.5
OCR + generic de-identification,8,valid,2,5,0,5,2,100.0,0.760,20,276.5
OCR + Presidio receipt de-identification,8,valid,2,6,1,5,1,50.0,0.760,20,276.5
OCR + spaCy receipt de-identification,8,valid,2,13,2,11,0,0.0,0.512,20,276.5
Proposed multimodal mediation,8,valid,2,7,1,6,1,50.0,0.744,20,276.5
Raw OCR text prompt,9,valid,1,0,0,0,1,100.0,1.000,7,567.3
OCR + regex masking,9,valid,1,2,0,2,1,100.0,0.700,7,567.3
OCR + generic de-identification,9,valid,1,2,0,2,1,100.0,0.700,7,567.3
OCR + Presidio receipt de-identification,9,valid,1,2,0,2,1,100.0,0.700,7,567.3
OCR + spaCy receipt de-identification,9,valid,1,5,1,4,0,0.0,0.450,7,567.3
Proposed multimodal mediation,9,valid,1,3,1,2,0,0.0,0.700,7,567.3
Raw OCR text prompt,10,valid,2,0,0,0,2,100.0,1.000,9,276.1
OCR + regex masking,10,valid,2,3,0,3,2,100.0,0.633,9,276.1
OCR + generic de-identification,10,valid,2,3,0,3,2,100.0,0.633,9,276.1
OCR + Presidio receipt de-identification,10,valid,2,3,0,3,2,100.0,0.633,9,276.1
OCR + spaCy receipt de-identification,10,valid,2,8,2,6,0,0.0,0.306,9,276.1
Proposed multimodal mediation,10,valid,2,5,2,3,0,0.0,0.633,9,276.1
