split,profile,seed,prompt_count,template_count,per_percent,upr,tsr
dev,Balanced,101,64,8,9.6491,0.9385,0.9179
dev,Balanced,17,64,8,9.5727,0.9374,0.9168
dev,Balanced,29,64,8,9.3894,0.9357,0.9139
dev,Balanced,43,64,8,9.7243,0.9393,0.9180
dev,Balanced,71,64,8,9.7110,0.9390,0.9190
dev,Lenient,101,64,8,12.8587,0.9657,0.9448
dev,Lenient,17,64,8,12.8845,0.9657,0.9457
dev,Lenient,29,64,8,13.2244,0.9692,0.9481
dev,Lenient,43,64,8,12.8122,0.9649,0.9435
dev,Lenient,71,64,8,12.8602,0.9659,0.9451
dev,Strict,101,64,8,7.4698,0.8856,0.8753
dev,Strict,17,64,8,7.6742,0.8880,0.8769
dev,Strict,29,64,8,7.8765,0.8886,0.8791
dev,Strict,43,64,8,7.7254,0.8875,0.8766
dev,Strict,71,64,8,7.6050,0.8873,0.8761
test,Balanced,101,64,8,9.6639,0.9386,0.9179
test,Balanced,17,64,8,9.5889,0.9371,0.9164
test,Balanced,29,64,8,9.4045,0.9355,0.9139
test,Balanced,43,64,8,9.7483,0.9391,0.9177
test,Balanced,71,64,8,9.7306,0.9390,0.9188
test,Lenient,101,64,8,12.8217,0.9662,0.9453
test,Lenient,17,64,8,12.8588,0.9660,0.9461
test,Lenient,29,64,8,13.2014,0.9695,0.9481
test,Lenient,43,64,8,12.7870,0.9652,0.9439
test,Lenient,71,64,8,12.8465,0.9661,0.9451
test,Strict,101,64,8,7.4540,0.8856,0.8755
test,Strict,17,64,8,7.6562,0.8882,0.8772
test,Strict,29,64,8,7.8631,0.8887,0.8794
test,Strict,43,64,8,7.7062,0.8878,0.8767
test,Strict,71,64,8,7.5745,0.8873,0.8763
train,Balanced,101,128,16,9.6443,0.9386,0.9180
train,Balanced,17,128,16,9.5761,0.9374,0.9167
train,Balanced,29,128,16,9.3943,0.9357,0.9140
train,Balanced,43,128,16,9.7302,0.9393,0.9179
train,Balanced,71,128,16,9.7111,0.9391,0.9190
train,Lenient,101,128,16,12.8551,0.9658,0.9448
train,Lenient,17,128,16,12.8828,0.9656,0.9458
train,Lenient,29,128,16,13.2243,0.9692,0.9480
train,Lenient,43,128,16,12.8105,0.9649,0.9436
train,Lenient,71,128,16,12.8654,0.9659,0.9450
train,Strict,101,128,16,7.4764,0.8855,0.8752
train,Strict,17,128,16,7.6747,0.8880,0.8769
train,Strict,29,128,16,7.8777,0.8885,0.8790
train,Strict,43,128,16,7.7258,0.8876,0.8766
train,Strict,71,128,16,7.6007,0.8872,0.8761
