method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
Raw OCR text prompt,0,test,12,0,0,0,12,100.0,1.000,33,2882.2
OCR + regex masking,0,test,12,3,1,2,11,98.7,0.970,33,2882.2
OCR + generic de-identification,0,test,12,18,9,9,3,26.6,0.689,33,2882.2
OCR + Presidio form de-identification,0,test,12,23,11,12,1,17.8,0.497,33,2882.2
OCR + spaCy form de-identification,0,test,12,22,11,11,1,17.8,0.473,33,2882.2
Proposed multimodal mediation,0,test,12,18,9,9,3,26.6,0.689,33,2882.2
Raw OCR text prompt,1,test,36,0,0,0,36,100.0,1.000,67,1305.4
OCR + regex masking,1,test,36,14,7,7,29,95.2,0.895,67,1305.4
OCR + generic de-identification,1,test,36,41,22,19,14,48.7,0.423,67,1305.4
OCR + Presidio form de-identification,1,test,36,41,23,18,13,50.0,0.435,67,1305.4
OCR + spaCy form de-identification,1,test,36,49,30,19,6,14.1,0.409,67,1305.4
Proposed multimodal mediation,1,test,36,43,22,21,14,48.7,0.371,67,1305.4
Raw OCR text prompt,2,test,17,0,0,0,17,100.0,1.000,40,2237.8
OCR + regex masking,2,test,17,2,1,1,16,98.9,0.983,40,2237.8
OCR + generic de-identification,2,test,17,28,14,14,3,41.9,0.344,40,2237.8
OCR + Presidio form de-identification,2,test,17,26,15,11,2,3.9,0.596,40,2237.8
OCR + spaCy form de-identification,2,test,17,29,16,13,1,14.8,0.512,40,2237.8
Proposed multimodal mediation,2,test,17,28,14,14,3,41.9,0.344,40,2237.8
Raw OCR text prompt,3,test,14,0,0,0,14,100.0,1.000,43,2142.5
OCR + regex masking,3,test,14,3,0,3,14,100.0,0.970,43,2142.5
OCR + generic de-identification,3,test,14,22,9,13,5,40.6,0.563,43,2142.5
OCR + Presidio form de-identification,3,test,14,25,11,14,3,21.5,0.662,43,2142.5
OCR + spaCy form de-identification,3,test,14,31,12,19,2,15.2,0.382,43,2142.5
Proposed multimodal mediation,3,test,14,22,9,13,5,40.6,0.563,43,2142.5
Raw OCR text prompt,4,test,8,0,0,0,8,100.0,1.000,43,1482.9
OCR + regex masking,4,test,8,5,1,4,7,98.8,0.958,43,1482.9
OCR + generic de-identification,4,test,8,26,6,20,2,11.8,0.607,43,1482.9
OCR + Presidio form de-identification,4,test,8,24,5,19,3,50.3,0.609,43,1482.9
OCR + spaCy form de-identification,4,test,8,29,8,21,0,0.0,0.358,43,1482.9
Proposed multimodal mediation,4,test,8,28,6,22,2,11.8,0.563,43,1482.9
Raw OCR text prompt,5,test,16,0,0,0,16,100.0,1.000,40,2445.9
OCR + regex masking,5,test,16,4,1,3,15,98.9,0.952,40,2445.9
OCR + generic de-identification,5,test,16,22,11,11,5,25.4,0.736,40,2445.9
OCR + Presidio form de-identification,5,test,16,27,13,14,3,18.3,0.587,40,2445.9
OCR + spaCy form de-identification,5,test,16,25,12,13,4,21.6,0.608,40,2445.9
Proposed multimodal mediation,5,test,16,24,11,13,5,25.4,0.690,40,2445.9
Raw OCR text prompt,6,test,35,0,0,0,35,100.0,1.000,73,2014.1
OCR + regex masking,6,test,35,11,10,1,25,96.3,0.992,73,2014.1
OCR + generic de-identification,6,test,35,41,17,24,18,46.8,0.529,73,2014.1
OCR + Presidio form de-identification,6,test,35,49,21,28,14,37.6,0.445,73,2014.1
OCR + spaCy form de-identification,6,test,35,59,29,30,6,26.6,0.331,73,2014.1
Proposed multimodal mediation,6,test,35,42,17,25,18,46.8,0.504,73,2014.1
Raw OCR text prompt,7,test,51,0,0,0,51,100.0,1.000,101,1444.9
OCR + regex masking,7,test,51,24,18,6,33,89.0,0.959,101,1444.9
OCR + generic de-identification,7,test,51,56,25,31,26,59.3,0.586,101,1444.9
OCR + Presidio form de-identification,7,test,51,67,36,31,15,45.9,0.579,101,1444.9
OCR + spaCy form de-identification,7,test,51,73,37,36,14,36.5,0.437,101,1444.9
Proposed multimodal mediation,7,test,51,58,25,33,26,59.3,0.555,101,1444.9
Raw OCR text prompt,8,test,12,0,0,0,12,100.0,1.000,42,1074.1
OCR + regex masking,8,test,12,8,4,4,8,80.3,0.892,42,1074.1
OCR + generic de-identification,8,test,12,13,7,6,5,37.2,0.854,42,1074.1
OCR + Presidio form de-identification,8,test,12,23,7,16,5,52.6,0.570,42,1074.1
OCR + spaCy form de-identification,8,test,12,24,8,16,4,29.2,0.599,42,1074.1
Proposed multimodal mediation,8,test,12,19,8,11,4,34.3,0.730,42,1074.1
Raw OCR text prompt,9,test,10,0,0,0,10,100.0,1.000,27,1007.5
OCR + regex masking,9,test,10,1,0,1,10,100.0,0.956,27,1007.5
OCR + generic de-identification,9,test,10,12,8,4,2,22.0,0.817,27,1007.5
OCR + Presidio form de-identification,9,test,10,15,10,5,0,0.0,0.733,27,1007.5
OCR + spaCy form de-identification,9,test,10,14,10,4,0,0.0,0.800,27,1007.5
Proposed multimodal mediation,9,test,10,12,8,4,2,22.0,0.817,27,1007.5
Raw OCR text prompt,10,test,9,0,0,0,9,100.0,1.000,25,691.4
OCR + regex masking,10,test,9,1,0,1,9,100.0,0.954,25,691.4
OCR + generic de-identification,10,test,9,12,7,5,2,23.1,0.746,25,691.4
OCR + Presidio form de-identification,10,test,9,13,9,4,0,0.0,0.757,25,691.4
OCR + spaCy form de-identification,10,test,9,12,9,3,0,0.0,0.827,25,691.4
Proposed multimodal mediation,10,test,9,12,7,5,2,23.1,0.746,25,691.4
Raw OCR text prompt,11,test,10,0,0,0,10,100.0,1.000,39,1854.5
OCR + regex masking,11,test,10,1,0,1,10,100.0,0.992,39,1854.5
OCR + generic de-identification,11,test,10,19,6,13,4,50.3,0.314,39,1854.5
OCR + Presidio form de-identification,11,test,10,24,8,16,2,20.3,0.265,39,1854.5
OCR + spaCy form de-identification,11,test,10,24,7,17,3,23.9,0.245,39,1854.5
Proposed multimodal mediation,11,test,10,21,6,15,4,50.3,0.271,39,1854.5
Raw OCR text prompt,12,test,5,0,0,0,5,100.0,1.000,31,1697.1
OCR + regex masking,12,test,5,2,0,2,5,100.0,0.983,31,1697.1
OCR + generic de-identification,12,test,5,15,4,11,1,23.5,0.520,31,1697.1
OCR + Presidio form de-identification,12,test,5,23,4,19,1,23.5,0.139,31,1697.1
OCR + spaCy form de-identification,12,test,5,20,4,16,1,23.5,0.293,31,1697.1
Proposed multimodal mediation,12,test,5,16,4,12,1,23.5,0.502,31,1697.1
Raw OCR text prompt,13,test,23,0,0,0,23,100.0,1.000,41,1009.9
OCR + regex masking,13,test,23,1,0,1,23,100.0,0.963,41,1009.9
OCR + generic de-identification,13,test,23,15,7,8,16,50.4,0.662,41,1009.9
OCR + Presidio form de-identification,13,test,23,25,21,4,2,16.2,0.861,41,1009.9
OCR + spaCy form de-identification,13,test,23,25,19,6,4,18.6,0.722,41,1009.9
Proposed multimodal mediation,13,test,23,19,11,8,12,37.3,0.662,41,1009.9
Raw OCR text prompt,14,test,11,0,0,0,11,100.0,1.000,40,1971.0
OCR + regex masking,14,test,11,2,1,1,10,85.4,0.993,40,1971.0
OCR + generic de-identification,14,test,11,18,8,10,3,19.5,0.562,40,1971.0
OCR + Presidio form de-identification,14,test,11,29,10,19,1,18.4,0.318,40,1971.0
OCR + spaCy form de-identification,14,test,11,23,9,14,2,23.2,0.463,40,1971.0
Proposed multimodal mediation,14,test,11,18,8,10,3,19.5,0.562,40,1971.0
Raw OCR text prompt,15,test,40,0,0,0,40,100.0,1.000,56,1295.4
OCR + regex masking,15,test,40,2,0,2,40,100.0,0.955,56,1295.4
OCR + generic de-identification,15,test,40,20,9,11,31,60.5,0.368,56,1295.4
OCR + Presidio form de-identification,15,test,40,47,35,12,5,9.7,0.335,56,1295.4
OCR + spaCy form de-identification,15,test,40,44,32,12,8,19.6,0.372,56,1295.4
Proposed multimodal mediation,15,test,40,24,13,11,27,54.6,0.368,56,1295.4
Raw OCR text prompt,16,test,31,0,0,0,31,100.0,1.000,64,2167.8
OCR + regex masking,16,test,31,1,0,1,31,100.0,0.992,64,2167.8
OCR + generic de-identification,16,test,31,30,13,17,18,55.7,0.568,64,2167.8
OCR + Presidio form de-identification,16,test,31,52,31,21,0,0.0,0.394,64,2167.8
OCR + spaCy form de-identification,16,test,31,54,31,23,0,0.0,0.381,64,2167.8
Proposed multimodal mediation,16,test,31,32,13,19,18,55.7,0.552,64,2167.8
Raw OCR text prompt,17,test,5,0,0,0,5,100.0,1.000,28,952.5
OCR + regex masking,17,test,5,1,0,1,5,100.0,0.983,28,952.5
OCR + generic de-identification,17,test,5,19,4,15,1,23.0,0.251,28,952.5
OCR + Presidio form de-identification,17,test,5,22,4,18,1,14.8,0.181,28,952.5
OCR + spaCy form de-identification,17,test,5,22,5,17,0,0.0,0.170,28,952.5
Proposed multimodal mediation,17,test,5,19,4,15,1,23.0,0.251,28,952.5
Raw OCR text prompt,18,test,11,0,0,0,11,100.0,1.000,36,2062.1
OCR + regex masking,18,test,11,0,0,0,11,100.0,1.000,36,2062.1
OCR + generic de-identification,18,test,11,15,7,8,4,36.2,0.565,36,2062.1
OCR + Presidio form de-identification,18,test,11,26,11,15,0,0.0,0.480,36,2062.1
OCR + spaCy form de-identification,18,test,11,23,10,13,1,3.0,0.495,36,2062.1
Proposed multimodal mediation,18,test,11,15,7,8,4,36.2,0.565,36,2062.1
