method,note_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention
Raw prompt,physionet-relabeled-train-0000,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0001,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0002,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0003,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0004,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0005,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0006,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0007,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0008,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0009,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0010,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0011,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0012,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0013,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0014,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0015,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0016,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0017,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0018,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0019,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0020,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0021,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0022,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0023,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0024,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0025,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0026,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0027,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0028,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0029,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0030,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0031,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0032,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0033,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0034,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0035,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0036,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0037,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0038,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0039,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0040,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0041,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0042,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0043,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0044,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0045,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0046,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0047,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0048,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0049,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0050,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0051,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0052,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0053,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0054,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0055,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0056,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0057,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0058,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0059,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0060,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0061,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0062,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0063,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0064,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0065,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0066,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0067,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0068,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0069,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0070,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0071,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0072,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0073,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0074,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0075,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0076,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0077,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0078,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0079,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0080,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0081,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0082,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0083,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0084,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0085,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0086,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0087,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0088,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0089,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0090,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0091,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0092,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0093,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0094,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0095,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0096,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0097,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0098,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0099,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0100,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0101,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0102,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0103,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0104,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0105,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0106,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0107,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0108,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0109,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0110,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0111,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0112,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0113,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0114,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0115,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0116,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0117,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0118,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0119,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0120,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0121,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0122,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0123,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0124,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0125,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0126,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0127,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0128,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0129,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0130,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0131,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0132,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0133,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0134,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0135,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0136,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0137,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0138,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0139,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0140,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0141,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0142,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0143,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0144,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0145,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0146,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0147,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0148,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0149,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0150,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0151,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0152,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0153,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0154,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0155,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0156,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0157,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0158,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0159,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0160,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0161,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0162,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0163,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0164,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0165,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0166,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0167,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0168,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0169,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0170,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0171,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0172,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0173,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0174,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0175,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0176,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0177,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0178,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0179,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0180,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0181,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0182,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0183,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0184,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0185,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0186,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0187,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0188,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0189,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0190,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0191,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0192,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0193,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0194,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0195,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0196,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0197,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0198,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0199,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0200,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0201,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0202,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0203,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0204,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0205,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0206,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0207,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0208,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0209,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0210,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0211,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0212,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0213,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0214,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0215,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0216,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0217,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0218,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0219,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0220,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0221,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0222,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0223,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0224,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0225,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0226,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0227,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0228,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0229,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0230,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0231,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0232,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0233,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0234,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0235,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0236,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0237,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0238,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0239,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0240,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0241,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0242,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0243,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0244,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0245,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0246,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0247,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0248,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0249,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0250,physionet-train,8,0,0,0,8,100.0,1.000
Raw prompt,physionet-relabeled-train-0251,physionet-train,8,0,0,0,8,100.0,1.000
