prompt_id,template_id,seed,profile,direct_exposure_score,upr_score,tsr_score
T01-V1,T01,17,Lenient,0.126769,0.964521,0.949283
T01-V2,T01,17,Lenient,0.126798,0.968556,0.944093
T01-V3,T01,17,Lenient,0.128989,0.968048,0.949253
T01-V4,T01,17,Lenient,0.132298,0.962973,0.943034
T01-V5,T01,17,Lenient,0.127704,0.967123,0.946344
T01-V6,T01,17,Lenient,0.128275,0.964874,0.948186
T01-V7,T01,17,Lenient,0.126464,0.966813,0.948889
T01-V8,T01,17,Lenient,0.128927,0.964153,0.941578
T02-V1,T02,17,Lenient,0.126798,0.968556,0.944093
T02-V2,T02,17,Lenient,0.128989,0.968048,0.949253
T02-V3,T02,17,Lenient,0.130298,0.964973,0.945534
T02-V4,T02,17,Lenient,0.130504,0.964323,0.942844
T02-V5,T02,17,Lenient,0.128275,0.964874,0.948186
T02-V6,T02,17,Lenient,0.126464,0.966813,0.948889
T02-V7,T02,17,Lenient,0.126927,0.966153,0.944078
T02-V8,T02,17,Lenient,0.126814,0.965574,0.948431
T03-V1,T03,17,Lenient,0.128989,0.968048,0.949253
T03-V2,T03,17,Lenient,0.130298,0.964973,0.945534
T03-V3,T03,17,Lenient,0.128504,0.966323,0.945344
T03-V4,T03,17,Lenient,0.131075,0.962074,0.944686
T03-V5,T03,17,Lenient,0.126464,0.966813,0.948889
T03-V6,T03,17,Lenient,0.126927,0.966153,0.944078
T03-V7,T03,17,Lenient,0.124814,0.967574,0.950931
T03-V8,T03,17,Lenient,0.127976,0.969938,0.947036
T04-V1,T04,17,Lenient,0.130298,0.964973,0.945534
T04-V2,T04,17,Lenient,0.128504,0.966323,0.945344
T04-V3,T04,17,Lenient,0.129075,0.964074,0.947186
T04-V4,T04,17,Lenient,0.129264,0.964013,0.945389
T04-V5,T04,17,Lenient,0.126927,0.966153,0.944078
T04-V6,T04,17,Lenient,0.124814,0.967574,0.950931
T04-V7,T04,17,Lenient,0.125976,0.971938,0.949536
T04-V8,T04,17,Lenient,0.127467,0.967153,0.948701
T05-V1,T05,17,Lenient,0.128504,0.966323,0.945344
T05-V2,T05,17,Lenient,0.129075,0.964074,0.947186
T05-V3,T05,17,Lenient,0.127264,0.966013,0.947889
T05-V4,T05,17,Lenient,0.129727,0.963353,0.940578
T05-V5,T05,17,Lenient,0.124814,0.967574,0.950931
T05-V6,T05,17,Lenient,0.125976,0.971938,0.949536
T05-V7,T05,17,Lenient,0.125467,0.969153,0.951201
T05-V8,T05,17,Lenient,0.125434,0.967878,0.949131
T06-V1,T06,17,Lenient,0.131475,0.961674,0.944186
T06-V2,T06,17,Lenient,0.129664,0.963613,0.944889
T06-V3,T06,17,Lenient,0.130127,0.962953,0.940078
T06-V4,T06,17,Lenient,0.130014,0.962374,0.944431
T06-V5,T06,17,Lenient,0.128376,0.969538,0.946536
T06-V6,T06,17,Lenient,0.127867,0.966753,0.948201
T06-V7,T06,17,Lenient,0.125834,0.967478,0.948631
T06-V8,T06,17,Lenient,0.128565,0.964402,0.945051
T07-V1,T07,17,Lenient,0.129664,0.963613,0.944889
T07-V2,T07,17,Lenient,0.130127,0.962953,0.940078
T07-V3,T07,17,Lenient,0.128014,0.964374,0.946931
T07-V4,T07,17,Lenient,0.131176,0.966738,0.943036
T07-V5,T07,17,Lenient,0.127867,0.966753,0.948201
T07-V6,T07,17,Lenient,0.125834,0.967478,0.948631
T07-V7,T07,17,Lenient,0.126565,0.966402,0.947551
T07-V8,T07,17,Lenient,0.128252,0.966947,0.946437
T08-V1,T08,17,Lenient,0.130127,0.962953,0.940078
T08-V2,T08,17,Lenient,0.128014,0.964374,0.946931
T08-V3,T08,17,Lenient,0.129176,0.968738,0.945536
T08-V4,T08,17,Lenient,0.130667,0.963953,0.944701
T08-V5,T08,17,Lenient,0.125834,0.967478,0.948631
T08-V6,T08,17,Lenient,0.126565,0.966402,0.947551
T08-V7,T08,17,Lenient,0.126252,0.968947,0.948937
T08-V8,T08,17,Lenient,0.132375,0.966862,0.946117
T09-V1,T09,17,Lenient,0.125614,0.966774,0.949931
T09-V2,T09,17,Lenient,0.126776,0.971138,0.948536
T09-V3,T09,17,Lenient,0.126267,0.968353,0.950201
T09-V4,T09,17,Lenient,0.126234,0.967078,0.948131
T09-V5,T09,17,Lenient,0.124165,0.968802,0.950551
T09-V6,T09,17,Lenient,0.123852,0.971347,0.951937
T09-V7,T09,17,Lenient,0.127975,0.971262,0.951617
T09-V8,T09,17,Lenient,0.126539,0.966721,0.948529
T10-V1,T10,17,Lenient,0.126769,0.964521,0.949283
T10-V2,T10,17,Lenient,0.126798,0.968556,0.944093
T10-V3,T10,17,Lenient,0.128989,0.968048,0.949253
T10-V4,T10,17,Lenient,0.132298,0.962973,0.943034
T10-V5,T10,17,Lenient,0.127704,0.967123,0.946344
T10-V6,T10,17,Lenient,0.128275,0.964874,0.948186
T10-V7,T10,17,Lenient,0.126464,0.966813,0.948889
T10-V8,T10,17,Lenient,0.128927,0.964153,0.941578
T11-V1,T11,17,Lenient,0.126798,0.968556,0.944093
T11-V2,T11,17,Lenient,0.128989,0.968048,0.949253
T11-V3,T11,17,Lenient,0.130298,0.964973,0.945534
T11-V4,T11,17,Lenient,0.130504,0.964323,0.942844
T11-V5,T11,17,Lenient,0.128275,0.964874,0.948186
T11-V6,T11,17,Lenient,0.126464,0.966813,0.948889
T11-V7,T11,17,Lenient,0.126927,0.966153,0.944078
T11-V8,T11,17,Lenient,0.126814,0.965574,0.948431
T12-V1,T12,17,Lenient,0.128989,0.968048,0.949253
T12-V2,T12,17,Lenient,0.130298,0.964973,0.945534
T12-V3,T12,17,Lenient,0.128504,0.966323,0.945344
T12-V4,T12,17,Lenient,0.131075,0.962074,0.944686
T12-V5,T12,17,Lenient,0.126464,0.966813,0.948889
T12-V6,T12,17,Lenient,0.126927,0.966153,0.944078
T12-V7,T12,17,Lenient,0.124814,0.967574,0.950931
