document_id,split,prompt_hash,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,prompt_eval_count,eval_count,latency_ms
001-83927,dev,167c172d0c569070,42,70,33,37,9,48.2,0.976,803,686,20536.1
001-79436,dev,b072b44f45cbed18,37,46,25,21,12,26.8,0.832,774,612,18347.6
001-61815,dev,5188d19f2dd9bbe4,71,41,19,22,52,76.7,0.995,986,888,26934.0
001-95183,dev,c926ef8572e8233b,55,118,39,79,16,15.4,0.481,880,364,11190.3
001-126979,dev,d22fee11863ef544,35,67,27,40,8,34.7,0.871,778,553,16894.5
001-83617,dev,d2cbf9507083a7b2,40,33,26,7,14,53.9,0.998,806,649,19604.1
001-81368,dev,db2be858a70b91b5,48,46,37,9,11,27.5,0.993,941,829,25100.0
001-57508,dev,fb5ae2086313dd02,174,89,52,37,122,31.4,0.567,2174,1010,31315.6
001-114244,dev,9847f0e33e290154,90,30,25,5,65,73.7,1.000,1099,930,28330.7
001-89991,dev,e0405a2a859d867b,42,45,25,20,17,38.8,0.971,747,582,17507.5
001-70759,dev,c9c7739b15bac8b2,28,39,19,20,9,39.7,0.967,708,728,21808.6
001-79012,dev,4d272ef119bffe37,73,42,25,17,48,68.3,0.961,1076,892,26810.0
001-86146,dev,bc4f9b2210112cfe,83,60,27,33,56,25.3,0.432,1031,342,10550.5
001-109046,dev,a048866c11e7e920,146,44,26,18,120,50.6,0.629,1861,1068,32723.8
001-94981,dev,709e3182a27c8820,45,33,20,13,25,55.8,0.986,754,637,19084.0
001-67466,dev,86ac3182293fa871,92,46,22,24,70,71.1,0.669,2013,1400,42787.7
001-61228,dev,22e3b5e612fb980a,73,56,33,23,40,51.1,0.445,2013,929,28509.3
001-67470,dev,3c6020cc4d96888a,128,87,85,2,43,36.1,0.968,2064,1821,55602.5
001-106448,dev,42b15360d88d8767,51,36,6,30,45,82.1,0.896,1204,1030,31349.7
001-89184,dev,9ab0147d1949bf54,53,61,37,24,16,39.8,0.957,851,642,19433.3
001-97110,dev,ddab9a813283a58c,40,60,34,26,6,34.1,0.933,746,553,16686.4
001-101444,dev,64ec2058b76d1f06,36,38,23,15,13,50.9,0.943,703,545,16372.2
001-61549,dev,1b55a0cca6d7c62a,84,67,34,33,50,32.8,0.947,1137,853,25597.7
001-86867,dev,dcc085053a81252d,63,46,26,20,37,73.6,0.992,896,730,22031.8
001-70179,dev,d95ed4f97a361d1a,50,43,35,8,15,52.5,0.976,884,802,24172.3
001-148610,dev,c31875866651c3d7,50,69,33,36,17,40.2,0.607,938,484,14967.4
001-75466,dev,460d3f7204b8ccf8,28,33,22,11,6,27.6,0.855,714,697,20955.9
001-105006,dev,d8b7ef711f65dca3,39,65,32,33,7,18.3,0.859,758,501,15220.8
001-111540,dev,ce9cd74b7b21e696,88,46,35,11,53,52.3,0.990,1227,1055,31987.1
001-69774,dev,89294b01623bc7df,54,40,27,13,27,20.8,0.699,816,573,17293.3
001-81191,dev,7beb1018d09e997d,49,29,24,5,25,57.4,0.983,922,768,22992.6
001-60696,dev,2cf6e511b04f421e,50,98,28,70,22,46.6,0.579,1010,534,16183.7
